LOCATION:  P4
TEST TYPE:  All
DATES:   1/01/15 to 11/10/15
Date ,Skid ID ,Skid ID2 ,Line ,Product ,Lot Code ,Test Type ,Prim. Resin ,% ,Sec. Resin ,% ,Additive 1 ,% ,Additive 2 ,% ,Additive 3 ,% ,Array ,Dart Spec ,Dart Offline ,Dart Ratio ,Tear Spec ,MD Tear Offline ,MD Tear Ratio ,TD Tear Offline ,TD Tear Ratio ,Opacity ,Gauge Spec ,Min ,Avg. ,Range ,Low ,Gauge CoV ,Gauge Retest ,QA Tag Number1 ,QA Tag Number2 ,Comment ,Dart 1 Day ,Dart 2 Weeks ,Dart 3 Months ,Tear 1 Day ,Tear 2 Weeks ,Tear 3 Months
2015/01/12 , 0019673051 , 0019673050 , 436  , DSRS913W-1      , 012152     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0466 ,  1.266 , 00300 , 00337 ,  1.123 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .810 ,    .260 ,    .660 ,      ,         ,         ,         , S19673051-50              ,      ,      ,      ,       ,       ,
2015/01/13 , 0019673037 , 0019673036 , 436  , DSRS913W-1      , 013154     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0520 ,  1.413 , 00300 , 00549 ,  1.830 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .820 ,    .330 ,    .650 ,      ,         ,         ,         , 19673037-36               ,      ,      ,      ,       ,       ,
2015/01/13 , 0019673043 , 0019673044 , 436  , DSRS913W-1      , 013152     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0466 ,  1.266 , 00300 , 00362 ,  1.206 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .860 ,    .390 ,    .700 ,      ,         ,         ,         , ID 19673043-44            ,      ,      ,      ,       ,       ,
2015/01/13 , 0019673041 , 0019673042 , 436  , DSRS913W-1      , 013152     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0490 ,  1.331 , 00300 , 00358 ,  1.193 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .840 ,    .470 ,    .660 ,      ,         ,         ,         , ID 19673041-42            ,      ,      ,      ,       ,       ,
2015/01/13 , 0019673039 , 0019673040 , 436  , DSRS913W-1      , 013152     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0472 ,  1.282 , 00300 , 00472 ,  1.573 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .830 ,    .470 ,    .630 ,      ,         ,         ,         , ID 19673039-40            ,      ,      ,      ,       ,       ,
2015/01/14 , 0019681001 , 0019681000 , 436  , DSRS913W-1      , 014154     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0448 ,  1.217 , 00300 , 00474 ,  1.580 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .820 ,    .370 ,    .670 ,      ,         ,         ,         , 19681001-00               ,      ,      ,      ,       ,       ,
2015/01/14 , 0019681008 , 0019681009 , 436  , DSRS913W-1      , 014152     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0484 ,  1.315 , 00300 , 00398 ,  1.326 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .880 ,    .310 ,    .730 ,      ,         ,         ,         , S19681008-09              ,      ,      ,      ,       ,       ,
2015/01/14 , 0019681006 , 0019681005 , 436  , DSRS913W-1      , 014152     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0472 ,  1.282 , 00300 , 00332 ,  1.106 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .840 ,    .350 ,    .650 ,      ,         ,         ,         , S19681006-05              ,      ,      ,      ,       ,       ,
2015/01/15 , 0019680997 , 0019680996 , 436  , DSRS913W-1      , 015151     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0490 ,  1.331 , 00300 , 00319 ,  1.063 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .840 ,    .450 ,    .630 ,      ,         ,         ,         , S19680997-96              ,      ,      ,      ,       ,       ,
2015/01/15 , 0019680993 , 0019680994 , 436  , DSRS913W-1      , 015151     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0514 ,  1.396 , 00300 , 00430 ,  1.433 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .890 ,    .340 ,    .700 ,      ,         ,         ,         , S19680993-94              ,      ,      ,      ,       ,       ,
2015/01/15 , 0019680992 , 0019680991 , 436  , DSRS913W-1      , 015153     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0436 ,  1.184 , 00300 , 00519 ,  1.730 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .850 ,    .360 ,    .660 ,      ,         ,         ,         , 19680992-91               ,      ,      ,      ,       ,       ,
2015/01/16 , 0019691191 , 0019691190 , 436  , DSRS913W-1      , 016151     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0514 ,  1.396 , 00300 , 00530 ,  1.766 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .840 ,    .350 ,    .670 ,      ,         ,         ,         , 19691191-90               ,      ,      ,      ,       ,       ,
2015/01/16 , 0019691189 , 0019691188 , 436  , DSRS913W-1      , 016151     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0430 ,  1.168 , 00300 , 00493 ,  1.643 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .870 ,    .410 ,    .630 ,      ,         ,         ,         , 19691189-88               ,      ,      ,      ,       ,       ,
2015/01/17 , 0019691183 , 0019691182 , 436  , DSRS913W-1      , 017151     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0502 ,  1.364 , 00300 , 00342 ,  1.140 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .870 ,    .350 ,    .710 ,      ,         ,         ,         , ID 19691183-82            ,      ,      ,      ,       ,       ,
2015/01/17 , 0019691181 , 0019691180 , 436  , DSRS913W-1      , 017151     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0466 ,  1.266 , 00300 , 00502 ,  1.673 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .810 ,    .400 ,    .620 ,      ,         ,         ,         , ID 19691181-80            ,      ,      ,      ,       ,       ,
